# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/Thailand-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
154.215.14.0	154.215.14.255	256
154.223.44.0	154.223.44.255	256
154.6.165.0	154.6.165.255	256
154.84.132.0	154.84.132.255	256
154.84.153.0	154.84.153.255	256
154.85.96.0	154.85.96.255	256
154.89.6.0	154.89.6.255	256
154.90.44.0	154.90.47.255	1,024
154.91.142.0	154.91.142.255	256
154.91.200.0	154.91.201.255	512
154.93.58.0	154.93.58.255	256
156.225.129.0	156.225.129.255	256
156.227.5.0	156.227.5.255	256
156.235.90.0	156.235.90.255	256
156.236.29.0	156.236.29.255	256
156.238.133.0	156.238.133.255	256
156.238.183.0	156.238.183.255	256
156.249.128.0	156.249.255.255	32,768
156.253.0.0	156.253.1.255	512
156.255.80.0	156.255.83.255	1,024
156.59.174.0	156.59.175.255	512
156.59.208.0	156.59.209.255	512
156.59.50.0	156.59.51.255	512
157.119.233.0	157.119.233.255	256
157.167.29.0	157.167.29.255	256
157.179.0.0	157.179.255.255	65,536
157.240.118.0	157.240.119.255	512
158.108.0.0	158.108.255.255	65,536
158.46.164.0	158.46.175.255	3,072
158.46.188.0	158.46.188.255	256
158.79.1.0	158.79.1.255	256
159.117.138.0	159.117.139.255	512
159.138.224.0	159.138.255.255	8,192
159.192.0.0	159.192.255.255	65,536
160.238.12.0	160.238.15.255	1,024
161.123.221.0	161.123.221.255	256
161.123.237.0	161.123.237.255	256
161.200.0.0	161.200.255.255	65,536
161.246.0.0	161.246.255.255	65,536
161.82.128.0	161.82.255.255	32,768
162.158.204.0	162.158.205.255	512
162.219.86.0	162.219.86.255	256
163.116.204.0	163.116.204.255	256
163.171.105.0	163.171.106.255	512
163.171.108.0	163.171.108.255	256
163.171.120.0	163.171.123.255	1,024
163.171.148.0	163.171.148.255	256
